Testing endpoint tetr=46 and laci=15
t0 = 36 ; l0 = 15 <- t1 = 36 ; l1 = 16 <- t2 = 36 ; l2 = 17
t0 = 36 ; l0 = 15 <- t1 = 26 ; l1 = 15 <- t2 = 26 ; l2 = 16
t0 = 36 ; l0 = 15 <- t1 = 37 ; l1 = 15 <- t2 = 37 ; l2 = 16
t0 = 36 ; l0 = 15 <- t1 = 26 ; l1 = 15 <- t2 = 16 ; l2 = 15
t0 = 36 ; l0 = 15 <- t1 = 36 ; l1 = 16 <- t2 = 26 ; l2 = 16
t0 = 36 ; l0 = 15 <- t1 = 36 ; l1 = 16 <- t2 = 37 ; l2 = 16
t0 = 36 ; l0 = 15 <- t1 = 26 ; l1 = 15 <- t2 = 27 ; l2 = 15
t0 = 36 ; l0 = 15 <- t1 = 37 ; l1 = 15 <- t2 = 27 ; l2 = 15
t0 = 36 ; l0 = 15 <- t1 = 37 ; l1 = 15 <- t2 = 38 ; l2 = 15
t0 = 36 ; l0 = 15 <- t1 = 36 ; l1 = 5 <- t2 = 26 ; l2 = 5
t0 = 36 ; l0 = 15 <- t1 = 36 ; l1 = 5 <- t2 = 36 ; l2 = 6
t0 = 36 ; l0 = 15 <- t1 = 36 ; l1 = 16 <- t2 = 36 ; l2 = 6
t0 = 36 ; l0 = 15 <- t1 = 26 ; l1 = 15 <- t2 = 26 ; l2 = 5
t0 = 36 ; l0 = 15 <- t1 = 36 ; l1 = 5 <- t2 = 37 ; l2 = 5
t0 = 36 ; l0 = 15 <- t1 = 37 ; l1 = 15 <- t2 = 37 ; l2 = 5
