Testing endpoint tetr=205 and laci=19
t0 = 205 ; l0 = 20 <- t1 = 195 ; l1 = 20 <- t2 = 185 ; l2 = 20
t0 = 205 ; l0 = 20 <- t1 = 205 ; l1 = 21 <- t2 = 195 ; l2 = 21
t0 = 205 ; l0 = 20 <- t1 = 206 ; l1 = 20 <- t2 = 196 ; l2 = 20
t0 = 205 ; l0 = 20 <- t1 = 195 ; l1 = 20 <- t2 = 196 ; l2 = 20
t0 = 205 ; l0 = 20 <- t1 = 195 ; l1 = 20 <- t2 = 195 ; l2 = 21
t0 = 205 ; l0 = 20 <- t1 = 205 ; l1 = 21 <- t2 = 205 ; l2 = 21
t0 = 205 ; l0 = 20 <- t1 = 205 ; l1 = 20 <- t2 = 195 ; l2 = 20
t0 = 205 ; l0 = 20 <- t1 = 206 ; l1 = 20 <- t2 = 206 ; l2 = 21
t0 = 205 ; l0 = 20 <- t1 = 206 ; l1 = 20 <- t2 = 207 ; l2 = 20
t0 = 205 ; l0 = 20 <- t1 = 205 ; l1 = 20 <- t2 = 206 ; l2 = 20
t0 = 205 ; l0 = 20 <- t1 = 205 ; l1 = 21 <- t2 = 206 ; l2 = 21
t0 = 205 ; l0 = 20 <- t1 = 205 ; l1 = 20 <- t2 = 205 ; l2 = 21
t0 = 205 ; l0 = 20 <- t1 = 205 ; l1 = 21 <- t2 = 205 ; l2 = 22
t0 = 205 ; l0 = 20 <- t1 = 206 ; l1 = 20 <- t2 = 206 ; l2 = 20
t0 = 205 ; l0 = 20 <- t1 = 205 ; l1 = 20 <- t2 = 205 ; l2 = 20
