Testing endpoint tetr=179 and laci=19
t0 = 179 ; l0 = 20 <- t1 = 169 ; l1 = 20 <- t2 = 159 ; l2 = 20
t0 = 179 ; l0 = 20 <- t1 = 180 ; l1 = 20 <- t2 = 181 ; l2 = 20
t0 = 179 ; l0 = 20 <- t1 = 179 ; l1 = 21 <- t2 = 180 ; l2 = 21
t0 = 179 ; l0 = 20 <- t1 = 180 ; l1 = 20 <- t2 = 170 ; l2 = 20
t0 = 179 ; l0 = 20 <- t1 = 169 ; l1 = 20 <- t2 = 170 ; l2 = 20
t0 = 179 ; l0 = 20 <- t1 = 169 ; l1 = 20 <- t2 = 169 ; l2 = 21
t0 = 179 ; l0 = 20 <- t1 = 179 ; l1 = 21 <- t2 = 179 ; l2 = 22
t0 = 179 ; l0 = 20 <- t1 = 179 ; l1 = 21 <- t2 = 169 ; l2 = 21
t0 = 179 ; l0 = 20 <- t1 = 180 ; l1 = 20 <- t2 = 180 ; l2 = 21
