Testing endpoint tetr=121 and laci=19
t0 = 121 ; l0 = 20 <- t1 = 111 ; l1 = 20 <- t2 = 101 ; l2 = 20
t0 = 121 ; l0 = 20 <- t1 = 121 ; l1 = 21 <- t2 = 121 ; l2 = 22
t0 = 121 ; l0 = 20 <- t1 = 122 ; l1 = 20 <- t2 = 123 ; l2 = 20
t0 = 121 ; l0 = 20 <- t1 = 121 ; l1 = 21 <- t2 = 111 ; l2 = 21
t0 = 121 ; l0 = 20 <- t1 = 111 ; l1 = 20 <- t2 = 112 ; l2 = 20
t0 = 121 ; l0 = 20 <- t1 = 111 ; l1 = 20 <- t2 = 111 ; l2 = 21
t0 = 121 ; l0 = 20 <- t1 = 122 ; l1 = 20 <- t2 = 112 ; l2 = 20
t0 = 121 ; l0 = 20 <- t1 = 121 ; l1 = 21 <- t2 = 122 ; l2 = 21
t0 = 121 ; l0 = 20 <- t1 = 122 ; l1 = 20 <- t2 = 122 ; l2 = 21
