Testing endpoint tetr=76 and laci=19
t0 = 76 ; l0 = 20 <- t1 = 66 ; l1 = 20 <- t2 = 66 ; l2 = 21
t0 = 76 ; l0 = 20 <- t1 = 76 ; l1 = 21 <- t2 = 76 ; l2 = 22
t0 = 76 ; l0 = 20 <- t1 = 77 ; l1 = 20 <- t2 = 67 ; l2 = 20
t0 = 76 ; l0 = 20 <- t1 = 66 ; l1 = 20 <- t2 = 56 ; l2 = 20
t0 = 76 ; l0 = 20 <- t1 = 66 ; l1 = 20 <- t2 = 67 ; l2 = 20
t0 = 76 ; l0 = 20 <- t1 = 76 ; l1 = 21 <- t2 = 66 ; l2 = 21
t0 = 76 ; l0 = 20 <- t1 = 77 ; l1 = 20 <- t2 = 77 ; l2 = 21
t0 = 76 ; l0 = 20 <- t1 = 76 ; l1 = 21 <- t2 = 77 ; l2 = 21
t0 = 76 ; l0 = 20 <- t1 = 77 ; l1 = 20 <- t2 = 78 ; l2 = 20
