Testing endpoint tetr=50 and laci=16
t0 = 40 ; l0 = 16 <- t1 = 40 ; l1 = 17 <- t2 = 40 ; l2 = 18
t0 = 40 ; l0 = 16 <- t1 = 30 ; l1 = 16 <- t2 = 20 ; l2 = 16
t0 = 40 ; l0 = 16 <- t1 = 30 ; l1 = 16 <- t2 = 31 ; l2 = 16
t0 = 40 ; l0 = 16 <- t1 = 30 ; l1 = 16 <- t2 = 30 ; l2 = 17
t0 = 40 ; l0 = 16 <- t1 = 40 ; l1 = 17 <- t2 = 30 ; l2 = 17
t0 = 40 ; l0 = 16 <- t1 = 40 ; l1 = 6 <- t2 = 40 ; l2 = 7
t0 = 40 ; l0 = 16 <- t1 = 40 ; l1 = 6 <- t2 = 30 ; l2 = 6
t0 = 40 ; l0 = 16 <- t1 = 30 ; l1 = 16 <- t2 = 30 ; l2 = 6
t0 = 40 ; l0 = 16 <- t1 = 40 ; l1 = 17 <- t2 = 40 ; l2 = 7
