Testing endpoint tetr=41 and laci=19
t0 = 41 ; l0 = 20 <- t1 = 42 ; l1 = 20 <- t2 = 43 ; l2 = 20
t0 = 31 ; l0 = 19 <- t1 = 32 ; l1 = 19 <- t2 = 22 ; l2 = 19
t0 = 31 ; l0 = 19 <- t1 = 21 ; l1 = 19 <- t2 = 11 ; l2 = 19
t0 = 41 ; l0 = 20 <- t1 = 31 ; l1 = 20 <- t2 = 32 ; l2 = 20
t0 = 31 ; l0 = 19 <- t1 = 31 ; l1 = 20 <- t2 = 31 ; l2 = 21
t0 = 31 ; l0 = 19 <- t1 = 32 ; l1 = 19 <- t2 = 33 ; l2 = 19
t0 = 41 ; l0 = 20 <- t1 = 41 ; l1 = 21 <- t2 = 42 ; l2 = 21
t0 = 41 ; l0 = 20 <- t1 = 31 ; l1 = 20 <- t2 = 21 ; l2 = 20
t0 = 31 ; l0 = 19 <- t1 = 21 ; l1 = 19 <- t2 = 21 ; l2 = 20
t0 = 31 ; l0 = 19 <- t1 = 31 ; l1 = 20 <- t2 = 32 ; l2 = 20
t0 = 31 ; l0 = 19 <- t1 = 31 ; l1 = 20 <- t2 = 21 ; l2 = 20
t0 = 31 ; l0 = 19 <- t1 = 31 ; l1 = 9 <- t2 = 21 ; l2 = 9
t0 = 31 ; l0 = 19 <- t1 = 32 ; l1 = 19 <- t2 = 32 ; l2 = 20
t0 = 41 ; l0 = 20 <- t1 = 42 ; l1 = 20 <- t2 = 32 ; l2 = 20
t0 = 31 ; l0 = 19 <- t1 = 21 ; l1 = 19 <- t2 = 22 ; l2 = 19
t0 = 41 ; l0 = 20 <- t1 = 41 ; l1 = 21 <- t2 = 41 ; l2 = 22
t0 = 41 ; l0 = 20 <- t1 = 41 ; l1 = 21 <- t2 = 31 ; l2 = 21
t0 = 41 ; l0 = 20 <- t1 = 42 ; l1 = 20 <- t2 = 42 ; l2 = 21
t0 = 31 ; l0 = 19 <- t1 = 32 ; l1 = 19 <- t2 = 32 ; l2 = 9
t0 = 41 ; l0 = 20 <- t1 = 31 ; l1 = 20 <- t2 = 31 ; l2 = 21
t0 = 31 ; l0 = 19 <- t1 = 21 ; l1 = 19 <- t2 = 21 ; l2 = 9
t0 = 41 ; l0 = 20 <- t1 = 31 ; l1 = 20 <- t2 = 31 ; l2 = 10
t0 = 31 ; l0 = 19 <- t1 = 31 ; l1 = 9 <- t2 = 31 ; l2 = 10
t0 = 31 ; l0 = 19 <- t1 = 31 ; l1 = 20 <- t2 = 31 ; l2 = 10
t0 = 31 ; l0 = 19 <- t1 = 31 ; l1 = 9 <- t2 = 32 ; l2 = 9
