Testing endpoint tetr=178 and laci=19
t0 = 178 ; l0 = 20 <- t1 = 168 ; l1 = 20 <- t2 = 158 ; l2 = 20
t0 = 178 ; l0 = 20 <- t1 = 178 ; l1 = 21 <- t2 = 168 ; l2 = 21
t0 = 178 ; l0 = 20 <- t1 = 179 ; l1 = 20 <- t2 = 169 ; l2 = 20
t0 = 178 ; l0 = 20 <- t1 = 168 ; l1 = 20 <- t2 = 169 ; l2 = 20
t0 = 178 ; l0 = 20 <- t1 = 168 ; l1 = 20 <- t2 = 168 ; l2 = 21
t0 = 178 ; l0 = 20 <- t1 = 179 ; l1 = 20 <- t2 = 180 ; l2 = 20
t0 = 178 ; l0 = 20 <- t1 = 178 ; l1 = 21 <- t2 = 178 ; l2 = 22
t0 = 178 ; l0 = 20 <- t1 = 179 ; l1 = 20 <- t2 = 179 ; l2 = 21
t0 = 178 ; l0 = 20 <- t1 = 178 ; l1 = 21 <- t2 = 179 ; l2 = 21
