Testing endpoint tetr=202 and laci=19
t0 = 202 ; l0 = 20 <- t1 = 192 ; l1 = 20 <- t2 = 182 ; l2 = 20
t0 = 202 ; l0 = 20 <- t1 = 202 ; l1 = 21 <- t2 = 192 ; l2 = 21
t0 = 202 ; l0 = 20 <- t1 = 192 ; l1 = 20 <- t2 = 193 ; l2 = 20
t0 = 202 ; l0 = 20 <- t1 = 203 ; l1 = 20 <- t2 = 204 ; l2 = 20
t0 = 202 ; l0 = 20 <- t1 = 192 ; l1 = 20 <- t2 = 192 ; l2 = 21
t0 = 202 ; l0 = 20 <- t1 = 203 ; l1 = 20 <- t2 = 193 ; l2 = 20
t0 = 202 ; l0 = 20 <- t1 = 202 ; l1 = 20 <- t2 = 192 ; l2 = 20
t0 = 202 ; l0 = 20 <- t1 = 202 ; l1 = 21 <- t2 = 203 ; l2 = 21
t0 = 202 ; l0 = 20 <- t1 = 202 ; l1 = 21 <- t2 = 202 ; l2 = 22
t0 = 202 ; l0 = 20 <- t1 = 202 ; l1 = 20 <- t2 = 202 ; l2 = 21
t0 = 202 ; l0 = 20 <- t1 = 203 ; l1 = 20 <- t2 = 203 ; l2 = 20
t0 = 202 ; l0 = 20 <- t1 = 203 ; l1 = 20 <- t2 = 203 ; l2 = 21
t0 = 202 ; l0 = 20 <- t1 = 202 ; l1 = 20 <- t2 = 203 ; l2 = 20
t0 = 202 ; l0 = 20 <- t1 = 202 ; l1 = 20 <- t2 = 202 ; l2 = 20
t0 = 202 ; l0 = 20 <- t1 = 202 ; l1 = 21 <- t2 = 202 ; l2 = 21
