Testing endpoint tetr=134 and laci=19
t0 = 134 ; l0 = 20 <- t1 = 124 ; l1 = 20 <- t2 = 114 ; l2 = 20
t0 = 134 ; l0 = 20 <- t1 = 134 ; l1 = 21 <- t2 = 124 ; l2 = 21
t0 = 134 ; l0 = 20 <- t1 = 135 ; l1 = 20 <- t2 = 125 ; l2 = 20
t0 = 134 ; l0 = 20 <- t1 = 135 ; l1 = 20 <- t2 = 136 ; l2 = 20
t0 = 134 ; l0 = 20 <- t1 = 124 ; l1 = 20 <- t2 = 124 ; l2 = 21
t0 = 134 ; l0 = 20 <- t1 = 134 ; l1 = 21 <- t2 = 134 ; l2 = 22
t0 = 134 ; l0 = 20 <- t1 = 124 ; l1 = 20 <- t2 = 125 ; l2 = 20
t0 = 134 ; l0 = 20 <- t1 = 135 ; l1 = 20 <- t2 = 135 ; l2 = 21
t0 = 134 ; l0 = 20 <- t1 = 134 ; l1 = 21 <- t2 = 135 ; l2 = 21
