Testing endpoint tetr=42 and laci=8
t0 = 32 ; l0 = 8 <- t1 = 32 ; l1 = 9 <- t2 = 32 ; l2 = 10
t0 = 32 ; l0 = 8 <- t1 = 33 ; l1 = 8 <- t2 = 34 ; l2 = 8
t0 = 32 ; l0 = 8 <- t1 = 22 ; l1 = 8 <- t2 = 12 ; l2 = 8
t0 = 32 ; l0 = 8 <- t1 = 22 ; l1 = 8 <- t2 = 22 ; l2 = 9
t0 = 32 ; l0 = 8 <- t1 = 32 ; l1 = 9 <- t2 = 22 ; l2 = 9
t0 = 32 ; l0 = 8 <- t1 = 32 ; l1 = 9 <- t2 = 33 ; l2 = 9
t0 = 32 ; l0 = 8 <- t1 = 33 ; l1 = 8 <- t2 = 33 ; l2 = 9
t0 = 32 ; l0 = 8 <- t1 = 22 ; l1 = 8 <- t2 = 23 ; l2 = 8
t0 = 32 ; l0 = 8 <- t1 = 33 ; l1 = 8 <- t2 = 23 ; l2 = 8
