Testing endpoint tetr=193 and laci=19
t0 = 193 ; l0 = 20 <- t1 = 183 ; l1 = 20 <- t2 = 173 ; l2 = 20
t0 = 193 ; l0 = 20 <- t1 = 193 ; l1 = 21 <- t2 = 183 ; l2 = 21
t0 = 193 ; l0 = 20 <- t1 = 194 ; l1 = 20 <- t2 = 184 ; l2 = 20
t0 = 193 ; l0 = 20 <- t1 = 183 ; l1 = 20 <- t2 = 183 ; l2 = 21
t0 = 193 ; l0 = 20 <- t1 = 194 ; l1 = 20 <- t2 = 195 ; l2 = 20
t0 = 193 ; l0 = 20 <- t1 = 183 ; l1 = 20 <- t2 = 184 ; l2 = 20
t0 = 193 ; l0 = 20 <- t1 = 193 ; l1 = 21 <- t2 = 194 ; l2 = 21
t0 = 193 ; l0 = 20 <- t1 = 193 ; l1 = 21 <- t2 = 193 ; l2 = 22
t0 = 193 ; l0 = 20 <- t1 = 194 ; l1 = 20 <- t2 = 194 ; l2 = 21
