Testing endpoint tetr=197 and laci=19
t0 = 197 ; l0 = 20 <- t1 = 198 ; l1 = 20 <- t2 = 188 ; l2 = 20
t0 = 197 ; l0 = 20 <- t1 = 187 ; l1 = 20 <- t2 = 177 ; l2 = 20
t0 = 197 ; l0 = 20 <- t1 = 197 ; l1 = 21 <- t2 = 198 ; l2 = 21
t0 = 197 ; l0 = 20 <- t1 = 187 ; l1 = 20 <- t2 = 188 ; l2 = 20
t0 = 197 ; l0 = 20 <- t1 = 198 ; l1 = 20 <- t2 = 199 ; l2 = 20
t0 = 197 ; l0 = 20 <- t1 = 187 ; l1 = 20 <- t2 = 187 ; l2 = 21
t0 = 197 ; l0 = 20 <- t1 = 197 ; l1 = 21 <- t2 = 197 ; l2 = 22
t0 = 197 ; l0 = 20 <- t1 = 197 ; l1 = 21 <- t2 = 187 ; l2 = 21
t0 = 197 ; l0 = 20 <- t1 = 198 ; l1 = 20 <- t2 = 198 ; l2 = 21
