Testing endpoint tetr=43 and laci=16
t0 = 33 ; l0 = 16 <- t1 = 33 ; l1 = 17 <- t2 = 33 ; l2 = 18
t0 = 33 ; l0 = 16 <- t1 = 23 ; l1 = 16 <- t2 = 13 ; l2 = 16
t0 = 33 ; l0 = 16 <- t1 = 34 ; l1 = 16 <- t2 = 24 ; l2 = 16
t0 = 33 ; l0 = 16 <- t1 = 23 ; l1 = 16 <- t2 = 23 ; l2 = 17
t0 = 33 ; l0 = 16 <- t1 = 23 ; l1 = 16 <- t2 = 24 ; l2 = 16
t0 = 33 ; l0 = 16 <- t1 = 34 ; l1 = 16 <- t2 = 35 ; l2 = 16
t0 = 33 ; l0 = 16 <- t1 = 33 ; l1 = 6 <- t2 = 34 ; l2 = 6
t0 = 33 ; l0 = 16 <- t1 = 23 ; l1 = 16 <- t2 = 23 ; l2 = 6
t0 = 33 ; l0 = 16 <- t1 = 33 ; l1 = 17 <- t2 = 23 ; l2 = 17
t0 = 33 ; l0 = 16 <- t1 = 34 ; l1 = 16 <- t2 = 34 ; l2 = 6
t0 = 33 ; l0 = 16 <- t1 = 33 ; l1 = 17 <- t2 = 34 ; l2 = 17
t0 = 33 ; l0 = 16 <- t1 = 34 ; l1 = 16 <- t2 = 34 ; l2 = 17
t0 = 33 ; l0 = 16 <- t1 = 33 ; l1 = 6 <- t2 = 23 ; l2 = 6
t0 = 33 ; l0 = 16 <- t1 = 33 ; l1 = 17 <- t2 = 33 ; l2 = 7
t0 = 33 ; l0 = 16 <- t1 = 33 ; l1 = 6 <- t2 = 33 ; l2 = 7
