Testing endpoint tetr=161 and laci=19
t0 = 161 ; l0 = 20 <- t1 = 161 ; l1 = 21 <- t2 = 161 ; l2 = 22
t0 = 161 ; l0 = 20 <- t1 = 151 ; l1 = 20 <- t2 = 141 ; l2 = 20
t0 = 161 ; l0 = 20 <- t1 = 162 ; l1 = 20 <- t2 = 152 ; l2 = 20
t0 = 161 ; l0 = 20 <- t1 = 151 ; l1 = 20 <- t2 = 151 ; l2 = 21
t0 = 161 ; l0 = 20 <- t1 = 151 ; l1 = 20 <- t2 = 152 ; l2 = 20
t0 = 161 ; l0 = 20 <- t1 = 162 ; l1 = 20 <- t2 = 162 ; l2 = 21
t0 = 161 ; l0 = 20 <- t1 = 161 ; l1 = 21 <- t2 = 151 ; l2 = 21
t0 = 161 ; l0 = 20 <- t1 = 161 ; l1 = 21 <- t2 = 162 ; l2 = 21
t0 = 161 ; l0 = 20 <- t1 = 162 ; l1 = 20 <- t2 = 163 ; l2 = 20
