Testing endpoint tetr=136 and laci=19
t0 = 136 ; l0 = 20 <- t1 = 126 ; l1 = 20 <- t2 = 116 ; l2 = 20
t0 = 136 ; l0 = 20 <- t1 = 136 ; l1 = 21 <- t2 = 126 ; l2 = 21
t0 = 136 ; l0 = 20 <- t1 = 137 ; l1 = 20 <- t2 = 127 ; l2 = 20
t0 = 136 ; l0 = 20 <- t1 = 126 ; l1 = 20 <- t2 = 126 ; l2 = 21
t0 = 136 ; l0 = 20 <- t1 = 136 ; l1 = 21 <- t2 = 136 ; l2 = 22
t0 = 136 ; l0 = 20 <- t1 = 126 ; l1 = 20 <- t2 = 127 ; l2 = 20
t0 = 136 ; l0 = 20 <- t1 = 137 ; l1 = 20 <- t2 = 138 ; l2 = 20
t0 = 136 ; l0 = 20 <- t1 = 136 ; l1 = 21 <- t2 = 137 ; l2 = 21
t0 = 136 ; l0 = 20 <- t1 = 137 ; l1 = 20 <- t2 = 137 ; l2 = 21
