Testing endpoint tetr=43 and laci=9
t0 = 33 ; l0 = 9 <- t1 = 33 ; l1 = 10 <- t2 = 33 ; l2 = 11
t0 = 33 ; l0 = 9 <- t1 = 23 ; l1 = 9 <- t2 = 13 ; l2 = 9
t0 = 33 ; l0 = 9 <- t1 = 34 ; l1 = 9 <- t2 = 34 ; l2 = 10
t0 = 33 ; l0 = 9 <- t1 = 23 ; l1 = 9 <- t2 = 23 ; l2 = 10
t0 = 33 ; l0 = 9 <- t1 = 34 ; l1 = 9 <- t2 = 24 ; l2 = 9
t0 = 33 ; l0 = 9 <- t1 = 33 ; l1 = 10 <- t2 = 23 ; l2 = 10
t0 = 33 ; l0 = 9 <- t1 = 23 ; l1 = 9 <- t2 = 24 ; l2 = 9
t0 = 33 ; l0 = 9 <- t1 = 34 ; l1 = 9 <- t2 = 35 ; l2 = 9
t0 = 33 ; l0 = 9 <- t1 = 33 ; l1 = 10 <- t2 = 34 ; l2 = 10
t0 = 33 ; l0 = 9 <- t1 = 33 ; l1 = 10 <- t2 = 33 ; l2 = 0
