Testing endpoint tetr=44 and laci=19
t0 = 34 ; l0 = 19 <- t1 = 35 ; l1 = 19 <- t2 = 35 ; l2 = 20
t0 = 44 ; l0 = 20 <- t1 = 44 ; l1 = 21 <- t2 = 44 ; l2 = 22
t0 = 34 ; l0 = 19 <- t1 = 24 ; l1 = 19 <- t2 = 24 ; l2 = 20
t0 = 44 ; l0 = 20 <- t1 = 34 ; l1 = 20 <- t2 = 24 ; l2 = 20
t0 = 34 ; l0 = 19 <- t1 = 34 ; l1 = 20 <- t2 = 24 ; l2 = 20
t0 = 44 ; l0 = 20 <- t1 = 45 ; l1 = 20 <- t2 = 45 ; l2 = 21
t0 = 44 ; l0 = 20 <- t1 = 34 ; l1 = 20 <- t2 = 34 ; l2 = 21
t0 = 34 ; l0 = 19 <- t1 = 24 ; l1 = 19 <- t2 = 25 ; l2 = 19
t0 = 44 ; l0 = 20 <- t1 = 44 ; l1 = 21 <- t2 = 34 ; l2 = 21
t0 = 34 ; l0 = 19 <- t1 = 34 ; l1 = 9 <- t2 = 34 ; l2 = 10
t0 = 34 ; l0 = 19 <- t1 = 35 ; l1 = 19 <- t2 = 25 ; l2 = 19
t0 = 34 ; l0 = 19 <- t1 = 24 ; l1 = 19 <- t2 = 14 ; l2 = 19
t0 = 34 ; l0 = 19 <- t1 = 35 ; l1 = 19 <- t2 = 36 ; l2 = 19
t0 = 44 ; l0 = 20 <- t1 = 45 ; l1 = 20 <- t2 = 35 ; l2 = 20
t0 = 34 ; l0 = 19 <- t1 = 24 ; l1 = 19 <- t2 = 24 ; l2 = 9
t0 = 44 ; l0 = 20 <- t1 = 34 ; l1 = 20 <- t2 = 35 ; l2 = 20
t0 = 34 ; l0 = 19 <- t1 = 34 ; l1 = 9 <- t2 = 24 ; l2 = 9
t0 = 34 ; l0 = 19 <- t1 = 34 ; l1 = 20 <- t2 = 35 ; l2 = 20
t0 = 34 ; l0 = 19 <- t1 = 34 ; l1 = 20 <- t2 = 34 ; l2 = 21
t0 = 44 ; l0 = 20 <- t1 = 44 ; l1 = 21 <- t2 = 45 ; l2 = 21
t0 = 44 ; l0 = 20 <- t1 = 45 ; l1 = 20 <- t2 = 46 ; l2 = 20
t0 = 34 ; l0 = 19 <- t1 = 35 ; l1 = 19 <- t2 = 35 ; l2 = 9
t0 = 34 ; l0 = 19 <- t1 = 34 ; l1 = 9 <- t2 = 35 ; l2 = 9
t0 = 44 ; l0 = 20 <- t1 = 34 ; l1 = 20 <- t2 = 34 ; l2 = 10
t0 = 34 ; l0 = 19 <- t1 = 34 ; l1 = 20 <- t2 = 34 ; l2 = 10
