Testing endpoint tetr=177 and laci=19
t0 = 177 ; l0 = 20 <- t1 = 167 ; l1 = 20 <- t2 = 157 ; l2 = 20
t0 = 177 ; l0 = 20 <- t1 = 178 ; l1 = 20 <- t2 = 168 ; l2 = 20
t0 = 177 ; l0 = 20 <- t1 = 177 ; l1 = 21 <- t2 = 178 ; l2 = 21
t0 = 177 ; l0 = 20 <- t1 = 167 ; l1 = 20 <- t2 = 168 ; l2 = 20
t0 = 177 ; l0 = 20 <- t1 = 167 ; l1 = 20 <- t2 = 167 ; l2 = 21
t0 = 177 ; l0 = 20 <- t1 = 177 ; l1 = 21 <- t2 = 177 ; l2 = 22
t0 = 177 ; l0 = 20 <- t1 = 178 ; l1 = 20 <- t2 = 178 ; l2 = 21
t0 = 177 ; l0 = 20 <- t1 = 178 ; l1 = 20 <- t2 = 179 ; l2 = 20
t0 = 177 ; l0 = 20 <- t1 = 177 ; l1 = 21 <- t2 = 167 ; l2 = 21
