Testing endpoint tetr=181 and laci=19
t0 = 181 ; l0 = 20 <- t1 = 171 ; l1 = 20 <- t2 = 172 ; l2 = 20
t0 = 181 ; l0 = 20 <- t1 = 182 ; l1 = 20 <- t2 = 172 ; l2 = 20
t0 = 181 ; l0 = 20 <- t1 = 181 ; l1 = 21 <- t2 = 182 ; l2 = 21
t0 = 181 ; l0 = 20 <- t1 = 171 ; l1 = 20 <- t2 = 161 ; l2 = 20
t0 = 181 ; l0 = 20 <- t1 = 181 ; l1 = 21 <- t2 = 171 ; l2 = 21
t0 = 181 ; l0 = 20 <- t1 = 182 ; l1 = 20 <- t2 = 183 ; l2 = 20
t0 = 181 ; l0 = 20 <- t1 = 171 ; l1 = 20 <- t2 = 171 ; l2 = 21
t0 = 181 ; l0 = 20 <- t1 = 182 ; l1 = 20 <- t2 = 182 ; l2 = 21
t0 = 181 ; l0 = 20 <- t1 = 181 ; l1 = 21 <- t2 = 181 ; l2 = 22
