Testing endpoint tetr=64 and laci=19
t0 = 64 ; l0 = 20 <- t1 = 64 ; l1 = 21 <- t2 = 54 ; l2 = 21
t0 = 64 ; l0 = 20 <- t1 = 54 ; l1 = 20 <- t2 = 44 ; l2 = 20
t0 = 64 ; l0 = 20 <- t1 = 64 ; l1 = 21 <- t2 = 64 ; l2 = 22
t0 = 64 ; l0 = 20 <- t1 = 65 ; l1 = 20 <- t2 = 55 ; l2 = 20
t0 = 64 ; l0 = 20 <- t1 = 54 ; l1 = 20 <- t2 = 55 ; l2 = 20
t0 = 64 ; l0 = 20 <- t1 = 54 ; l1 = 20 <- t2 = 54 ; l2 = 21
t0 = 64 ; l0 = 20 <- t1 = 64 ; l1 = 21 <- t2 = 65 ; l2 = 21
t0 = 64 ; l0 = 20 <- t1 = 65 ; l1 = 20 <- t2 = 66 ; l2 = 20
t0 = 64 ; l0 = 20 <- t1 = 65 ; l1 = 20 <- t2 = 65 ; l2 = 21
