Testing endpoint tetr=49 and laci=19
t0 = 49 ; l0 = 20 <- t1 = 49 ; l1 = 21 <- t2 = 49 ; l2 = 22
t0 = 39 ; l0 = 19 <- t1 = 29 ; l1 = 19 <- t2 = 19 ; l2 = 19
t0 = 49 ; l0 = 20 <- t1 = 39 ; l1 = 20 <- t2 = 39 ; l2 = 21
t0 = 49 ; l0 = 20 <- t1 = 50 ; l1 = 20 <- t2 = 50 ; l2 = 21
t0 = 49 ; l0 = 20 <- t1 = 39 ; l1 = 20 <- t2 = 29 ; l2 = 20
t0 = 39 ; l0 = 19 <- t1 = 40 ; l1 = 19 <- t2 = 40 ; l2 = 20
t0 = 39 ; l0 = 19 <- t1 = 39 ; l1 = 20 <- t2 = 40 ; l2 = 20
t0 = 39 ; l0 = 19 <- t1 = 39 ; l1 = 20 <- t2 = 39 ; l2 = 21
t0 = 39 ; l0 = 19 <- t1 = 29 ; l1 = 19 <- t2 = 29 ; l2 = 20
t0 = 39 ; l0 = 19 <- t1 = 39 ; l1 = 20 <- t2 = 29 ; l2 = 20
t0 = 39 ; l0 = 19 <- t1 = 29 ; l1 = 19 <- t2 = 30 ; l2 = 19
t0 = 49 ; l0 = 20 <- t1 = 49 ; l1 = 21 <- t2 = 39 ; l2 = 21
t0 = 49 ; l0 = 20 <- t1 = 39 ; l1 = 20 <- t2 = 40 ; l2 = 20
t0 = 39 ; l0 = 19 <- t1 = 29 ; l1 = 19 <- t2 = 29 ; l2 = 9
t0 = 39 ; l0 = 19 <- t1 = 40 ; l1 = 19 <- t2 = 30 ; l2 = 19
t0 = 49 ; l0 = 20 <- t1 = 49 ; l1 = 21 <- t2 = 50 ; l2 = 21
t0 = 49 ; l0 = 20 <- t1 = 50 ; l1 = 20 <- t2 = 40 ; l2 = 20
t0 = 49 ; l0 = 20 <- t1 = 50 ; l1 = 20 <- t2 = 51 ; l2 = 20
t0 = 39 ; l0 = 19 <- t1 = 39 ; l1 = 9 <- t2 = 29 ; l2 = 9
t0 = 49 ; l0 = 20 <- t1 = 39 ; l1 = 20 <- t2 = 39 ; l2 = 10
t0 = 39 ; l0 = 19 <- t1 = 39 ; l1 = 20 <- t2 = 39 ; l2 = 10
t0 = 39 ; l0 = 19 <- t1 = 39 ; l1 = 9 <- t2 = 39 ; l2 = 10
t0 = 39 ; l0 = 19 <- t1 = 40 ; l1 = 19 <- t2 = 40 ; l2 = 9
t0 = 39 ; l0 = 19 <- t1 = 39 ; l1 = 9 <- t2 = 40 ; l2 = 9
