Testing endpoint tetr=53 and laci=19
t0 = 53 ; l0 = 20 <- t1 = 43 ; l1 = 20 <- t2 = 33 ; l2 = 20
t0 = 53 ; l0 = 20 <- t1 = 53 ; l1 = 21 <- t2 = 54 ; l2 = 21
t0 = 53 ; l0 = 20 <- t1 = 54 ; l1 = 20 <- t2 = 44 ; l2 = 20
t0 = 53 ; l0 = 20 <- t1 = 53 ; l1 = 21 <- t2 = 43 ; l2 = 21
t0 = 53 ; l0 = 20 <- t1 = 43 ; l1 = 20 <- t2 = 44 ; l2 = 20
t0 = 53 ; l0 = 20 <- t1 = 53 ; l1 = 21 <- t2 = 53 ; l2 = 22
t0 = 53 ; l0 = 20 <- t1 = 43 ; l1 = 20 <- t2 = 43 ; l2 = 21
t0 = 53 ; l0 = 20 <- t1 = 54 ; l1 = 20 <- t2 = 55 ; l2 = 20
t0 = 53 ; l0 = 20 <- t1 = 54 ; l1 = 20 <- t2 = 54 ; l2 = 21
