Testing endpoint tetr=186 and laci=19
t0 = 186 ; l0 = 20 <- t1 = 176 ; l1 = 20 <- t2 = 177 ; l2 = 20
t0 = 186 ; l0 = 20 <- t1 = 187 ; l1 = 20 <- t2 = 177 ; l2 = 20
t0 = 186 ; l0 = 20 <- t1 = 186 ; l1 = 21 <- t2 = 187 ; l2 = 21
t0 = 186 ; l0 = 20 <- t1 = 176 ; l1 = 20 <- t2 = 166 ; l2 = 20
t0 = 186 ; l0 = 20 <- t1 = 187 ; l1 = 20 <- t2 = 188 ; l2 = 20
t0 = 186 ; l0 = 20 <- t1 = 176 ; l1 = 20 <- t2 = 176 ; l2 = 21
t0 = 186 ; l0 = 20 <- t1 = 186 ; l1 = 21 <- t2 = 186 ; l2 = 22
t0 = 186 ; l0 = 20 <- t1 = 187 ; l1 = 20 <- t2 = 187 ; l2 = 21
t0 = 186 ; l0 = 20 <- t1 = 186 ; l1 = 21 <- t2 = 176 ; l2 = 21
