Testing endpoint tetr=42 and laci=19
t0 = 42 ; l0 = 20 <- t1 = 43 ; l1 = 20 <- t2 = 44 ; l2 = 20
t0 = 32 ; l0 = 19 <- t1 = 33 ; l1 = 19 <- t2 = 34 ; l2 = 19
t0 = 32 ; l0 = 19 <- t1 = 22 ; l1 = 19 <- t2 = 12 ; l2 = 19
t0 = 42 ; l0 = 20 <- t1 = 32 ; l1 = 20 <- t2 = 22 ; l2 = 20
t0 = 32 ; l0 = 19 <- t1 = 32 ; l1 = 9 <- t2 = 22 ; l2 = 9
t0 = 32 ; l0 = 19 <- t1 = 32 ; l1 = 20 <- t2 = 22 ; l2 = 20
t0 = 42 ; l0 = 20 <- t1 = 42 ; l1 = 21 <- t2 = 43 ; l2 = 21
t0 = 32 ; l0 = 19 <- t1 = 32 ; l1 = 20 <- t2 = 32 ; l2 = 21
t0 = 32 ; l0 = 19 <- t1 = 22 ; l1 = 19 <- t2 = 23 ; l2 = 19
t0 = 32 ; l0 = 19 <- t1 = 33 ; l1 = 19 <- t2 = 23 ; l2 = 19
t0 = 42 ; l0 = 20 <- t1 = 43 ; l1 = 20 <- t2 = 43 ; l2 = 21
t0 = 42 ; l0 = 20 <- t1 = 42 ; l1 = 21 <- t2 = 32 ; l2 = 21
t0 = 42 ; l0 = 20 <- t1 = 43 ; l1 = 20 <- t2 = 33 ; l2 = 20
t0 = 42 ; l0 = 20 <- t1 = 32 ; l1 = 20 <- t2 = 32 ; l2 = 10
t0 = 32 ; l0 = 19 <- t1 = 32 ; l1 = 9 <- t2 = 32 ; l2 = 10
t0 = 32 ; l0 = 19 <- t1 = 33 ; l1 = 19 <- t2 = 33 ; l2 = 20
t0 = 32 ; l0 = 19 <- t1 = 33 ; l1 = 19 <- t2 = 33 ; l2 = 9
t0 = 32 ; l0 = 19 <- t1 = 32 ; l1 = 20 <- t2 = 33 ; l2 = 20
t0 = 32 ; l0 = 19 <- t1 = 22 ; l1 = 19 <- t2 = 22 ; l2 = 9
t0 = 32 ; l0 = 19 <- t1 = 22 ; l1 = 19 <- t2 = 22 ; l2 = 20
t0 = 32 ; l0 = 19 <- t1 = 32 ; l1 = 20 <- t2 = 32 ; l2 = 10
t0 = 32 ; l0 = 19 <- t1 = 32 ; l1 = 9 <- t2 = 33 ; l2 = 9
t0 = 42 ; l0 = 20 <- t1 = 32 ; l1 = 20 <- t2 = 33 ; l2 = 20
t0 = 42 ; l0 = 20 <- t1 = 32 ; l1 = 20 <- t2 = 32 ; l2 = 21
t0 = 42 ; l0 = 20 <- t1 = 42 ; l1 = 21 <- t2 = 42 ; l2 = 22
