Testing endpoint tetr=187 and laci=19
t0 = 187 ; l0 = 20 <- t1 = 188 ; l1 = 20 <- t2 = 189 ; l2 = 20
t0 = 187 ; l0 = 20 <- t1 = 177 ; l1 = 20 <- t2 = 167 ; l2 = 20
t0 = 187 ; l0 = 20 <- t1 = 187 ; l1 = 21 <- t2 = 188 ; l2 = 21
t0 = 187 ; l0 = 20 <- t1 = 177 ; l1 = 20 <- t2 = 178 ; l2 = 20
t0 = 187 ; l0 = 20 <- t1 = 177 ; l1 = 20 <- t2 = 177 ; l2 = 21
t0 = 187 ; l0 = 20 <- t1 = 188 ; l1 = 20 <- t2 = 178 ; l2 = 20
t0 = 187 ; l0 = 20 <- t1 = 187 ; l1 = 21 <- t2 = 177 ; l2 = 21
t0 = 187 ; l0 = 20 <- t1 = 187 ; l1 = 21 <- t2 = 187 ; l2 = 22
t0 = 187 ; l0 = 20 <- t1 = 188 ; l1 = 20 <- t2 = 188 ; l2 = 21
