Testing endpoint tetr=85 and laci=19
t0 = 85 ; l0 = 20 <- t1 = 85 ; l1 = 21 <- t2 = 75 ; l2 = 21
t0 = 85 ; l0 = 20 <- t1 = 75 ; l1 = 20 <- t2 = 65 ; l2 = 20
t0 = 85 ; l0 = 20 <- t1 = 86 ; l1 = 20 <- t2 = 76 ; l2 = 20
t0 = 85 ; l0 = 20 <- t1 = 85 ; l1 = 21 <- t2 = 85 ; l2 = 22
t0 = 85 ; l0 = 20 <- t1 = 86 ; l1 = 20 <- t2 = 87 ; l2 = 20
t0 = 85 ; l0 = 20 <- t1 = 85 ; l1 = 21 <- t2 = 86 ; l2 = 21
t0 = 85 ; l0 = 20 <- t1 = 75 ; l1 = 20 <- t2 = 76 ; l2 = 20
t0 = 85 ; l0 = 20 <- t1 = 75 ; l1 = 20 <- t2 = 75 ; l2 = 21
t0 = 85 ; l0 = 20 <- t1 = 86 ; l1 = 20 <- t2 = 86 ; l2 = 21
