Testing endpoint tetr=43 and laci=4
t0 = 33 ; l0 = 4 <- t1 = 23 ; l1 = 4 <- t2 = 13 ; l2 = 4
t0 = 33 ; l0 = 4 <- t1 = 33 ; l1 = 5 <- t2 = 33 ; l2 = 6
t0 = 33 ; l0 = 4 <- t1 = 34 ; l1 = 4 <- t2 = 35 ; l2 = 4
t0 = 33 ; l0 = 4 <- t1 = 33 ; l1 = 5 <- t2 = 23 ; l2 = 5
t0 = 33 ; l0 = 4 <- t1 = 23 ; l1 = 4 <- t2 = 23 ; l2 = 5
t0 = 33 ; l0 = 4 <- t1 = 34 ; l1 = 4 <- t2 = 34 ; l2 = 5
t0 = 33 ; l0 = 4 <- t1 = 23 ; l1 = 4 <- t2 = 24 ; l2 = 4
t0 = 33 ; l0 = 4 <- t1 = 34 ; l1 = 4 <- t2 = 24 ; l2 = 4
t0 = 33 ; l0 = 4 <- t1 = 33 ; l1 = 5 <- t2 = 34 ; l2 = 5
