Testing endpoint tetr=48 and laci=6
t0 = 38 ; l0 = 6 <- t1 = 38 ; l1 = 7 <- t2 = 38 ; l2 = 8
t0 = 38 ; l0 = 6 <- t1 = 28 ; l1 = 6 <- t2 = 28 ; l2 = 7
t0 = 38 ; l0 = 6 <- t1 = 39 ; l1 = 6 <- t2 = 39 ; l2 = 7
t0 = 38 ; l0 = 6 <- t1 = 28 ; l1 = 6 <- t2 = 18 ; l2 = 6
t0 = 38 ; l0 = 6 <- t1 = 39 ; l1 = 6 <- t2 = 29 ; l2 = 6
t0 = 38 ; l0 = 6 <- t1 = 39 ; l1 = 6 <- t2 = 40 ; l2 = 6
t0 = 38 ; l0 = 6 <- t1 = 28 ; l1 = 6 <- t2 = 29 ; l2 = 6
t0 = 38 ; l0 = 6 <- t1 = 38 ; l1 = 7 <- t2 = 28 ; l2 = 7
t0 = 38 ; l0 = 6 <- t1 = 38 ; l1 = 7 <- t2 = 39 ; l2 = 7
