Testing endpoint tetr=183 and laci=19
t0 = 183 ; l0 = 20 <- t1 = 173 ; l1 = 20 <- t2 = 163 ; l2 = 20
t0 = 183 ; l0 = 20 <- t1 = 183 ; l1 = 21 <- t2 = 184 ; l2 = 21
t0 = 183 ; l0 = 20 <- t1 = 184 ; l1 = 20 <- t2 = 185 ; l2 = 20
t0 = 183 ; l0 = 20 <- t1 = 173 ; l1 = 20 <- t2 = 173 ; l2 = 21
t0 = 183 ; l0 = 20 <- t1 = 173 ; l1 = 20 <- t2 = 174 ; l2 = 20
t0 = 183 ; l0 = 20 <- t1 = 184 ; l1 = 20 <- t2 = 174 ; l2 = 20
t0 = 183 ; l0 = 20 <- t1 = 183 ; l1 = 21 <- t2 = 183 ; l2 = 22
t0 = 183 ; l0 = 20 <- t1 = 183 ; l1 = 21 <- t2 = 173 ; l2 = 21
t0 = 183 ; l0 = 20 <- t1 = 184 ; l1 = 20 <- t2 = 184 ; l2 = 21
