Testing endpoint tetr=41 and laci=4
t0 = 31 ; l0 = 4 <- t1 = 32 ; l1 = 4 <- t2 = 33 ; l2 = 4
t0 = 31 ; l0 = 4 <- t1 = 21 ; l1 = 4 <- t2 = 11 ; l2 = 4
t0 = 31 ; l0 = 4 <- t1 = 31 ; l1 = 5 <- t2 = 32 ; l2 = 5
t0 = 31 ; l0 = 4 <- t1 = 31 ; l1 = 5 <- t2 = 21 ; l2 = 5
t0 = 31 ; l0 = 4 <- t1 = 21 ; l1 = 4 <- t2 = 21 ; l2 = 5
t0 = 31 ; l0 = 4 <- t1 = 32 ; l1 = 4 <- t2 = 22 ; l2 = 4
t0 = 31 ; l0 = 4 <- t1 = 31 ; l1 = 5 <- t2 = 31 ; l2 = 6
t0 = 31 ; l0 = 4 <- t1 = 32 ; l1 = 4 <- t2 = 32 ; l2 = 5
t0 = 31 ; l0 = 4 <- t1 = 21 ; l1 = 4 <- t2 = 22 ; l2 = 4
