Testing endpoint tetr=44 and laci=18
t0 = 34 ; l0 = 18 <- t1 = 24 ; l1 = 18 <- t2 = 24 ; l2 = 19
t0 = 34 ; l0 = 18 <- t1 = 34 ; l1 = 8 <- t2 = 24 ; l2 = 8
t0 = 34 ; l0 = 18 <- t1 = 35 ; l1 = 18 <- t2 = 36 ; l2 = 18
t0 = 34 ; l0 = 18 <- t1 = 34 ; l1 = 19 <- t2 = 34 ; l2 = 20
t0 = 34 ; l0 = 18 <- t1 = 24 ; l1 = 18 <- t2 = 14 ; l2 = 18
t0 = 34 ; l0 = 18 <- t1 = 24 ; l1 = 18 <- t2 = 25 ; l2 = 18
t0 = 34 ; l0 = 18 <- t1 = 35 ; l1 = 18 <- t2 = 25 ; l2 = 18
t0 = 34 ; l0 = 18 <- t1 = 34 ; l1 = 19 <- t2 = 24 ; l2 = 19
t0 = 34 ; l0 = 18 <- t1 = 34 ; l1 = 19 <- t2 = 35 ; l2 = 19
t0 = 34 ; l0 = 18 <- t1 = 35 ; l1 = 18 <- t2 = 35 ; l2 = 19
t0 = 34 ; l0 = 18 <- t1 = 24 ; l1 = 18 <- t2 = 24 ; l2 = 8
t0 = 34 ; l0 = 18 <- t1 = 34 ; l1 = 8 <- t2 = 35 ; l2 = 8
t0 = 34 ; l0 = 18 <- t1 = 35 ; l1 = 18 <- t2 = 35 ; l2 = 8
t0 = 34 ; l0 = 18 <- t1 = 34 ; l1 = 19 <- t2 = 34 ; l2 = 9
t0 = 34 ; l0 = 18 <- t1 = 34 ; l1 = 8 <- t2 = 34 ; l2 = 9
