Testing endpoint tetr=42 and laci=16
t0 = 32 ; l0 = 16 <- t1 = 33 ; l1 = 16 <- t2 = 34 ; l2 = 16
t0 = 32 ; l0 = 16 <- t1 = 22 ; l1 = 16 <- t2 = 12 ; l2 = 16
t0 = 32 ; l0 = 16 <- t1 = 32 ; l1 = 17 <- t2 = 22 ; l2 = 17
t0 = 32 ; l0 = 16 <- t1 = 33 ; l1 = 16 <- t2 = 23 ; l2 = 16
t0 = 32 ; l0 = 16 <- t1 = 22 ; l1 = 16 <- t2 = 22 ; l2 = 17
t0 = 32 ; l0 = 16 <- t1 = 32 ; l1 = 17 <- t2 = 33 ; l2 = 17
t0 = 32 ; l0 = 16 <- t1 = 22 ; l1 = 16 <- t2 = 23 ; l2 = 16
t0 = 32 ; l0 = 16 <- t1 = 32 ; l1 = 17 <- t2 = 32 ; l2 = 18
t0 = 32 ; l0 = 16 <- t1 = 33 ; l1 = 16 <- t2 = 33 ; l2 = 17
t0 = 32 ; l0 = 16 <- t1 = 32 ; l1 = 6 <- t2 = 32 ; l2 = 7
t0 = 32 ; l0 = 16 <- t1 = 22 ; l1 = 16 <- t2 = 22 ; l2 = 6
t0 = 32 ; l0 = 16 <- t1 = 33 ; l1 = 16 <- t2 = 33 ; l2 = 6
t0 = 32 ; l0 = 16 <- t1 = 32 ; l1 = 6 <- t2 = 22 ; l2 = 6
t0 = 32 ; l0 = 16 <- t1 = 32 ; l1 = 17 <- t2 = 32 ; l2 = 7
t0 = 32 ; l0 = 16 <- t1 = 32 ; l1 = 6 <- t2 = 33 ; l2 = 6
