Testing endpoint tetr=48 and laci=11
t0 = 38 ; l0 = 11 <- t1 = 38 ; l1 = 12 <- t2 = 28 ; l2 = 12
t0 = 38 ; l0 = 11 <- t1 = 39 ; l1 = 11 <- t2 = 39 ; l2 = 12
t0 = 38 ; l0 = 11 <- t1 = 28 ; l1 = 11 <- t2 = 28 ; l2 = 12
t0 = 38 ; l0 = 11 <- t1 = 38 ; l1 = 1 <- t2 = 28 ; l2 = 1
t0 = 38 ; l0 = 11 <- t1 = 38 ; l1 = 12 <- t2 = 38 ; l2 = 13
t0 = 38 ; l0 = 11 <- t1 = 28 ; l1 = 11 <- t2 = 18 ; l2 = 11
t0 = 38 ; l0 = 11 <- t1 = 39 ; l1 = 11 <- t2 = 40 ; l2 = 11
t0 = 38 ; l0 = 11 <- t1 = 28 ; l1 = 11 <- t2 = 29 ; l2 = 11
t0 = 38 ; l0 = 11 <- t1 = 38 ; l1 = 12 <- t2 = 39 ; l2 = 12
t0 = 38 ; l0 = 11 <- t1 = 28 ; l1 = 11 <- t2 = 28 ; l2 = 1
t0 = 38 ; l0 = 11 <- t1 = 39 ; l1 = 11 <- t2 = 29 ; l2 = 11
t0 = 38 ; l0 = 11 <- t1 = 38 ; l1 = 1 <- t2 = 38 ; l2 = 2
t0 = 38 ; l0 = 11 <- t1 = 38 ; l1 = 12 <- t2 = 38 ; l2 = 2
t0 = 38 ; l0 = 11 <- t1 = 38 ; l1 = 1 <- t2 = 39 ; l2 = 1
t0 = 38 ; l0 = 11 <- t1 = 39 ; l1 = 11 <- t2 = 39 ; l2 = 1
