Testing endpoint tetr=41 and laci=16
t0 = 31 ; l0 = 16 <- t1 = 32 ; l1 = 16 <- t2 = 22 ; l2 = 16
t0 = 31 ; l0 = 16 <- t1 = 31 ; l1 = 17 <- t2 = 32 ; l2 = 17
t0 = 31 ; l0 = 16 <- t1 = 31 ; l1 = 6 <- t2 = 21 ; l2 = 6
t0 = 31 ; l0 = 16 <- t1 = 21 ; l1 = 16 <- t2 = 22 ; l2 = 16
t0 = 31 ; l0 = 16 <- t1 = 31 ; l1 = 17 <- t2 = 21 ; l2 = 17
t0 = 31 ; l0 = 16 <- t1 = 32 ; l1 = 16 <- t2 = 33 ; l2 = 16
t0 = 31 ; l0 = 16 <- t1 = 32 ; l1 = 16 <- t2 = 32 ; l2 = 17
t0 = 31 ; l0 = 16 <- t1 = 21 ; l1 = 16 <- t2 = 21 ; l2 = 6
t0 = 31 ; l0 = 16 <- t1 = 21 ; l1 = 16 <- t2 = 11 ; l2 = 16
t0 = 31 ; l0 = 16 <- t1 = 31 ; l1 = 6 <- t2 = 32 ; l2 = 6
t0 = 31 ; l0 = 16 <- t1 = 21 ; l1 = 16 <- t2 = 21 ; l2 = 17
t0 = 31 ; l0 = 16 <- t1 = 32 ; l1 = 16 <- t2 = 32 ; l2 = 6
t0 = 31 ; l0 = 16 <- t1 = 31 ; l1 = 6 <- t2 = 31 ; l2 = 7
t0 = 31 ; l0 = 16 <- t1 = 31 ; l1 = 17 <- t2 = 31 ; l2 = 18
t0 = 31 ; l0 = 16 <- t1 = 31 ; l1 = 17 <- t2 = 31 ; l2 = 7
