Testing endpoint tetr=90 and laci=19
t0 = 90 ; l0 = 20 <- t1 = 91 ; l1 = 20 <- t2 = 92 ; l2 = 20
t0 = 90 ; l0 = 20 <- t1 = 80 ; l1 = 20 <- t2 = 70 ; l2 = 20
t0 = 90 ; l0 = 20 <- t1 = 90 ; l1 = 21 <- t2 = 90 ; l2 = 22
t0 = 90 ; l0 = 20 <- t1 = 80 ; l1 = 20 <- t2 = 80 ; l2 = 21
t0 = 90 ; l0 = 20 <- t1 = 80 ; l1 = 20 <- t2 = 81 ; l2 = 20
t0 = 90 ; l0 = 20 <- t1 = 90 ; l1 = 21 <- t2 = 80 ; l2 = 21
t0 = 90 ; l0 = 20 <- t1 = 91 ; l1 = 20 <- t2 = 81 ; l2 = 20
t0 = 90 ; l0 = 20 <- t1 = 91 ; l1 = 20 <- t2 = 91 ; l2 = 21
t0 = 90 ; l0 = 20 <- t1 = 90 ; l1 = 21 <- t2 = 91 ; l2 = 21
