Testing endpoint tetr=47 and laci=14
t0 = 37 ; l0 = 14 <- t1 = 38 ; l1 = 14 <- t2 = 28 ; l2 = 14
t0 = 37 ; l0 = 14 <- t1 = 27 ; l1 = 14 <- t2 = 27 ; l2 = 15
t0 = 37 ; l0 = 14 <- t1 = 37 ; l1 = 15 <- t2 = 37 ; l2 = 16
t0 = 37 ; l0 = 14 <- t1 = 37 ; l1 = 15 <- t2 = 27 ; l2 = 15
t0 = 37 ; l0 = 14 <- t1 = 37 ; l1 = 4 <- t2 = 38 ; l2 = 4
t0 = 37 ; l0 = 14 <- t1 = 27 ; l1 = 14 <- t2 = 17 ; l2 = 14
t0 = 37 ; l0 = 14 <- t1 = 27 ; l1 = 14 <- t2 = 28 ; l2 = 14
t0 = 37 ; l0 = 14 <- t1 = 38 ; l1 = 14 <- t2 = 38 ; l2 = 15
t0 = 37 ; l0 = 14 <- t1 = 38 ; l1 = 14 <- t2 = 39 ; l2 = 14
t0 = 37 ; l0 = 14 <- t1 = 37 ; l1 = 15 <- t2 = 38 ; l2 = 15
t0 = 37 ; l0 = 14 <- t1 = 38 ; l1 = 14 <- t2 = 38 ; l2 = 4
t0 = 37 ; l0 = 14 <- t1 = 37 ; l1 = 4 <- t2 = 37 ; l2 = 5
t0 = 37 ; l0 = 14 <- t1 = 37 ; l1 = 15 <- t2 = 37 ; l2 = 5
t0 = 37 ; l0 = 14 <- t1 = 27 ; l1 = 14 <- t2 = 27 ; l2 = 4
t0 = 37 ; l0 = 14 <- t1 = 37 ; l1 = 4 <- t2 = 27 ; l2 = 4
