Testing endpoint tetr=60 and laci=19
t0 = 60 ; l0 = 20 <- t1 = 60 ; l1 = 21 <- t2 = 60 ; l2 = 22
t0 = 60 ; l0 = 20 <- t1 = 50 ; l1 = 20 <- t2 = 50 ; l2 = 21
t0 = 60 ; l0 = 20 <- t1 = 61 ; l1 = 20 <- t2 = 61 ; l2 = 21
t0 = 60 ; l0 = 20 <- t1 = 50 ; l1 = 20 <- t2 = 40 ; l2 = 20
t0 = 60 ; l0 = 20 <- t1 = 60 ; l1 = 21 <- t2 = 50 ; l2 = 21
t0 = 60 ; l0 = 20 <- t1 = 60 ; l1 = 21 <- t2 = 61 ; l2 = 21
t0 = 60 ; l0 = 20 <- t1 = 50 ; l1 = 20 <- t2 = 51 ; l2 = 20
t0 = 60 ; l0 = 20 <- t1 = 61 ; l1 = 20 <- t2 = 51 ; l2 = 20
t0 = 60 ; l0 = 20 <- t1 = 61 ; l1 = 20 <- t2 = 62 ; l2 = 20
